data_index,contribution_score
1164,2.502618
1165,1.8162165
1166,2.486313
1167,2.0361476
1168,2.6605585
1169,1.9986831
1170,2.264144
1171,2.4798203
1172,2.5302439
1173,2.0389192
1174,2.5857701
1175,2.070062
1176,2.2730381
1177,2.0372975
1178,2.2565396
1179,2.5613754
1180,2.4743595
1181,2.6277356
1182,2.214014
1183,1.9834318
1184,2.1300156
1185,2.2582688
1186,2.3606045
1187,2.340346
1188,2.0634885
1189,2.560911
1190,2.389453
1191,2.571149
1192,2.6240253
1193,2.1879935
1194,1.877355
1195,2.5694451
1196,2.37874
1197,2.63377
1198,2.5455842
1199,2.0010304
1200,2.5883856
1201,1.8906468
1202,2.2453732
1203,2.327413
1204,2.337817
1205,2.5926445
1206,2.3698843
1207,2.1324034
1208,2.4216523
1209,2.6373806
1210,2.3706512
1211,2.6464102
1212,2.5183408
1213,1.8623598
1214,2.145184
1215,2.439409
1216,2.40981
1217,2.605886
1218,2.265913
1219,2.3042295
1220,2.5033343
1221,1.87343
1222,1.4515046
1223,2.1897705
1224,2.2986135
1225,2.6106703
1226,2.4017217
1227,2.4250422
1228,2.141261
1229,2.670066
1230,2.5875392
1231,2.592038
1232,2.5729296
1233,2.2078915
1234,2.2309873
1235,1.9812332
1236,2.1545475
1237,2.1874113
1238,2.4310822
1239,2.1422217
1240,2.3437576
1241,2.237912
1242,2.452655
1243,2.5228395
1244,-1.0390935
1245,2.2181158
1246,2.2057283
1247,2.075827
1248,2.4816225
1249,1.9687144
1250,2.0673144
1251,2.660298
1252,2.508082
1253,2.3669536
1254,2.1201375
1255,1.9873973
1256,2.19119
1257,2.3898408
1258,2.3495712
1259,2.5281444
1260,2.2725384
1261,2.4568393
1262,1.9937246
1263,2.5960324
1264,2.1295092
1265,2.4402318
1266,2.3832834
1267,2.0605447
1268,2.6207528
1269,2.3578103
1270,2.148072
1271,2.3082974
1272,2.3139377
1273,2.3458943
1274,2.0136316
1275,2.3631103
1276,1.6279235
1277,2.5252125
1278,2.4472477
1279,2.1404448
1280,2.491718
1281,2.6556315
1282,2.012976
1283,2.3414881
1284,2.0274475
1285,2.3302732
1286,2.014032
1287,2.51107
1288,2.1498995
1289,1.9782753
1290,2.164514
1291,2.0464294
1292,2.0385783
1293,2.5364618
1294,2.0776944
1295,2.2471404
1296,2.1198366
1297,2.2992136
1298,2.203398
1299,1.8622062
1300,2.5750937
1301,2.1299677
1302,2.380369
1303,2.3553183
1304,2.550299
1305,2.0802932
1306,2.251624
1307,1.9680389
1308,2.391154
1309,2.262666
1310,2.9938507
1311,1.4114969
1312,2.2644627
1313,2.097894
1314,2.4505234
1315,2.2267506
1316,2.0400434
1317,2.2683709
1318,2.2072735
1319,2.2144337
1320,2.3627982
1321,2.6482027
1322,2.3985276
1323,2.300105
1324,1.687649
1325,2.3488853
1326,2.6497147
1327,2.360036
1328,2.2363398
1329,2.0680764
1330,2.092301
1331,2.6245356
1332,2.3956335
1333,1.9525361
1334,2.0442545
1335,2.6000533
1336,2.3986502
1337,2.3688858
1338,2.4223282
1339,2.0126405
1340,2.2422132
1341,2.3153803
1342,2.6473112
1343,2.4737642
1344,2.027056
1345,2.3292704
1346,2.4126947
1347,2.5676317
1348,2.3012333
1349,2.4740784
1350,2.270097
1351,2.2870386
1352,1.7121954
1353,2.6692395
1354,2.4944777
1355,2.0231707
1356,0.4692018
1357,1.4992557
1358,2.2789905
1359,2.4985213
1360,2.050819
1361,1.88856
1362,2.0995724
1363,2.389483
1364,2.1381226
1365,2.5469816
1366,2.3255584
1367,2.6649776
1368,2.6506863
1369,2.6384468
1370,2.1512458
1371,2.6042883
1372,2.5970526
1373,2.4965441
1374,2.006586
1375,1.8098385
1376,1.9505389
1377,2.541111
1378,2.338301
1379,2.2522979
1380,2.2984846
1381,2.5845954
1382,2.3344262
1383,2.0501878
1384,2.1669273
1385,2.0270026
1386,2.7223747
1387,2.4294255
1388,2.1009908
1389,2.393243
1390,2.1562533
1391,2.004522
1392,2.4224534
1393,2.4334056
1394,2.5132525
1395,2.0920603
1396,2.1382678
1397,2.0856757
1398,2.1229181
1399,2.1091127
1400,2.6151476
1401,1.9644079
1402,2.2754703
1403,2.5413508
1404,0.97109556
1405,2.6604192
1406,2.274678
1407,2.0467398
1408,2.3875558
1409,2.292828
1410,2.0268717
1411,2.4301462
1412,2.7430794
1413,2.3027017
1414,2.3160856
1415,2.3627267
1416,2.4123704
1417,2.57898
1418,2.3445573
1419,2.0070498
1420,2.47408
1421,2.084194
1422,2.6571827
1423,2.3554826
1424,2.350131
1425,2.6069863
1426,2.084764
1427,2.075073
1428,2.2488537
1429,2.3693216
1430,2.19453
1431,2.486875
1432,2.3970048
1433,2.3642294
1434,2.08738
1435,2.34807
1436,2.3285944
1437,2.3557527
1438,2.1086066
1439,2.1730645
1440,2.4375668
1441,2.1928747
1442,2.1481745
1443,2.4070177
1444,2.1502993
1445,2.6754649
1446,2.5171134
1447,2.007217
1448,2.492108
1449,2.3748193
1450,2.5649858
1451,2.49094
1452,2.5746999
1453,2.1982684
1454,2.7254732
1455,2.0493517
1456,2.2787793
1457,2.1565115
1458,2.586584
1459,2.0009685
1460,2.3723621
1461,2.5450532
1462,2.063976
1463,2.5779793
1464,2.1166463
1465,2.0982397
1466,2.5082262
1467,2.331557
1468,2.1942894
1469,2.1580937
1470,2.3239806
1471,2.4714344
1472,2.5726428
1473,2.5023413
1474,2.320302
1475,2.1822858
1476,2.328011
1477,2.3738863
1478,2.0334253
1479,2.5124006
1480,2.321636
1481,2.3987923
1482,2.2372708
1483,2.5380368
1484,2.0957005
1485,2.2807698
1486,2.3062732
1487,2.394721
1488,2.4176817
1489,2.429081
1490,2.36942
1491,2.5903385
1492,2.0479288
1493,2.357403
1494,2.4531903
1495,2.6119492
1496,2.63835
1497,2.608789
1498,2.4384742
1499,2.5014474
1500,2.1686034
1501,2.4225953
1502,2.5900674
1503,2.4446206
1504,2.4395492
1505,2.0984268
1506,2.2576277
1507,2.0821292
1508,2.3413372
1509,1.4324248
1510,2.054833
1511,2.4328847
1512,1.2061975
1513,2.6013844
1514,2.136551
1515,2.3486319
1516,2.3392808
1517,2.6507013
1518,1.968622
1519,1.9680547
1520,2.2862422
1521,2.5657475
1522,2.2499475
1523,2.6134498
1524,2.2596798
1525,2.5833592
1526,2.3706837
1527,2.5426106
1528,2.5205286
1529,2.3168375
1530,2.7080982
1531,2.0038419
1532,2.728024
1533,2.3464117
1534,2.1587121
1535,2.5441887
1536,2.1618025
1537,2.433243
1538,2.4021034
1539,1.9494364
1540,2.4271448
1541,2.5125234
1542,2.146732
1543,2.0752702
1544,2.5801196
1545,2.4711752
1546,2.3606713
1547,2.5221887
1548,2.5327508
1549,2.0782099
1550,2.0064015
1551,2.2309613
1552,2.1231751
1553,2.3246186
1554,1.9010315
1555,2.0865865
1556,2.2943697
1557,2.281418
1558,2.2264285
1559,2.2561479
1560,1.9520693
1561,1.9396645
1562,2.4476988
1563,2.0125842
1564,2.5797493
1565,2.4912858
1566,2.2390199
1567,2.1760736
1568,2.4842212
1569,2.0305867
1570,2.6492774
1571,2.4926796
1572,2.110636
1573,2.0546587
1574,2.0134358
1575,2.294255
1576,2.5420728
1577,2.290848
1578,2.7161725
1579,2.619645
1580,2.5035644
1581,2.434527
1582,2.3689725
1583,2.2699332
1584,2.0505571
1585,2.173043
1586,2.5365655
1587,2.44775
1588,2.3952787
1589,2.4597483
1590,2.72863
1591,2.0198195
1592,2.257763
1593,2.1508946
1594,2.4385073
1595,1.9263434
1596,2.7402136
1597,2.6424284
1598,1.671808
1599,2.3380213
1600,2.2339382
1601,2.5701716
1602,2.1146963
1603,2.3775916
1604,-1.6033235
1605,2.6977634
1606,2.520346
1607,2.6143858
1608,2.355606
1609,2.0976279
1610,2.008571
1611,2.1865125
1612,2.0097635
1613,2.384634
1614,2.0414326
1615,2.1072237
1616,2.1792052
1617,2.3131714
1618,2.2794077
1619,2.4462657
1620,1.9673427
1621,1.970549
1622,1.9852812
1623,2.0995617
1624,2.0314357
1625,2.5854814
1626,2.7774642
1627,2.5625765
1628,2.5592084
1629,2.1105633
1630,2.353185
1631,2.3120837
1632,2.0043013
1633,2.486708
1634,2.2106519
1635,2.2887678
1636,2.6565857
1637,2.3145356
1638,2.118525
1639,2.4195437
1640,2.6047552
1641,1.9618047
1642,2.3506536
1643,2.0919843
1644,2.3925757
1645,2.8050747
1646,2.21483
1647,2.6116574
1648,2.0707417
1649,2.125088
1650,2.3392925
1651,2.1532834
1652,2.2342181
1653,2.4050725
1654,2.509333
1655,2.2399194
1656,2.5751822
1657,2.0169492
1658,2.6538868
1659,2.054335
1660,2.1086519
1661,2.2596695
1662,2.067018
1663,2.373955
1664,2.6824005
1665,2.510407
1666,2.154456
1667,2.4049394
1668,2.2967834
1669,2.3510513
1670,2.1371143
1671,2.3992426
1672,2.3474257
1673,2.354778
1674,2.114775
1675,2.3219862
1676,2.641286
1677,2.2683327
1678,2.4029658
1679,2.0189104
1680,2.552455
1681,2.5973637
1682,2.8678963
1683,2.0813417
1684,2.0044298
1685,2.5738914
1686,2.1778264
1687,2.5139823
1688,2.2291071
1689,2.2569406
1690,2.277333
1691,2.1435723
1692,2.4520893
1693,2.3913884
1694,2.2927487
1695,2.1362898
1696,2.6287374
1697,2.5227706
1698,2.3359442
1699,2.6362557
1700,2.4831274
1701,2.8664806
1702,2.2872846
1703,2.565639
1704,2.472062
